id,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
rZ7HnEZ1Afo6Zd,,80's with KNYGHT RYDER,Gaslamp Long Beach,Long Beach,2025-11-29T05:00:00Z,2025-05-07T01:00:00Z,,,https://www.ticketweb.com/event/80s-with-knyght-ryder-gaslamp-long-beach-tickets/14447003
Z7r9jZ1A7Qk00,98°,98 Degrees,Fisher Theatre - Detroit,Detroit,2025-11-30T01:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7Qk00
Z7r9jZ1A7_N3A,Cash Cash,Cash Cash (21+ Event),Zouk Nightclub - Las Vegas,Las Vegas,2025-11-30T06:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_N3A
Z7r9jZ1A7bV_F,Little River Band,Little River Band (21 and Over),Live! Event Center - LA,Bossier City,2025-11-30T01:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7bV_F
Z7r9jZ1A7jwkv,Jonas Brothers,Jonas Brothers: JONAS20 Greetings From Your Hometown,MGM Grand Garden Arena,Las Vegas,2025-11-30T03:30:00Z,2025-10-02T17:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jwkv
rZ7HnEZ1Af8NPS,,"Alicia Moffet, Dominique Way",The Bronson,Ottawa,2025-11-30T00:30:00Z,2025-05-06T14:00:00Z,,,https://www.ticketweb.ca/event/alicia-moffet-dominique-way-the-bronson-tickets/14423973
rZ7HnEZ1AffyvS,,"12 Against Nature "" A Steely Dan Experience "" +  Make Me Smile - The Music Of Chicago",3rd and Lindsley,Nashville,2025-11-30T02:00:00Z,2025-09-08T17:00:00Z,,,https://www.ticketweb.com/event/12-against-nature-a-3rd-and-lindsley-tickets/14539073
Z7r9jZ1A7Q7fb,98°,98 Degrees w/ O-Town,Smart Financial Centre at Sugar Land,Sugar Land,2025-12-01T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7Q7fb
Z7r9jZ1A7QkvI,Thomas Dolby,Thomas Dolby,The Basement East,Nashville,2025-12-01T02:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7QkvI
Z7r9jZ1A7_VCf,The Home Team,The Home Team,The Rave-Eagles Club,Milwaukee,2025-12-01T01:00:00Z,2025-08-15T15:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_VCf
Z7r9jZ1A7Qaqf,98°,98 Degrees w/ O-Town,Majestic Theatre San Antonio,San Antonio,2025-12-02T01:30:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7Qaqf
Z7r9jZ1A7_YOx,The Home Team,THE HOME TEAM THE CRUCIBLE OF LIFE TOUR,Oriental Theatre-CO,Denver,2025-12-03T02:30:00Z,2025-08-15T16:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_YOx
Z7r9jZ1A7_bF0,Jens Lekman,Jens Lekman,Aladdin Theater,Portland,2025-12-03T04:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_bF0
Z7r9jZ1A7jO_S,98°,98 Degrees w/ O-Town,Saenger Theatre-New Orleans,New Orleans,2025-12-03T02:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jO_S
Z7r9jZ1A7_Vjs,Jens Lekman,Jens Lekman,Neumos,Seattle,2025-12-04T03:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_Vjs
Z7r9jZ1A7jw7t,Jonas Brothers,Jonas Brothers: JONAS20 Greetings From Your Hometown,INTRUST Bank Arena,Wichita,2025-12-04T01:30:00Z,2025-10-02T15:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jw7t
rZ7HnEZ1AKPA8f,Alicia Witt,Spending Christmas with Alicia Witt,3rd and Lindsley,Nashville,2025-12-04T01:30:00Z,2025-09-17T16:00:00Z,,,https://www.ticketweb.com/event/spending-christmas-with-alicia-witt-3rd-and-lindsley-tickets/13945414
rZ7HnEZ1Afbz-S,,"Bumberworks Presents: Indie Bloom ft: MILLY, Aurora Ave, Filling",Madame Lou's,Seattle,2025-12-04T03:30:00Z,2025-10-23T17:00:00Z,,,https://www.ticketweb.com/event/bumberworks-presents-indie-bloom-ft-madame-lous-tickets/14638873
Z7r9jZ1A7_78I,Jinkx Monsoon,THE JINKX & DELA HOLIDAY SHOW,Kings Theatre,Brooklyn,2025-12-05T01:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_78I
Z7r9jZ1A7_YOK,Colbie Caillat,Colbie Caillat w/ Gavin DeGraw,Spokane Live at Spokane Tribe Casino,Airway Heights,2025-12-05T03:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_YOK
Z7r9jZ1A7qevg,Yuri,Yuri,San Jose Civic,San Jose,2025-12-05T04:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qevg
rZ7HnEZ1Af4y-N,,"The Band Feel, The Thing With Feathers",Middle East - Upstairs,Cambridge,2025-12-05T00:00:00Z,2025-09-24T14:00:00Z,,,https://www.ticketweb.com/event/the-band-feel-the-thing-middle-east-upstairs-tickets/14579863
Z7r9jZ1A7_33a,Boogie Knights,Boogie Knights (Guests Under 18 Require Accompanying Adult),Canyon Club-CA,Agoura Hills,2025-12-06T05:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_33a
Z7r9jZ1A7j4f3,JOHNNYSWIM,Johnnyswim,The Barns at Wolf Trap,Vienna,2025-12-06T01:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7j4f3
Z7r9jZ1A7jd0s,Jefferson Starship,Jefferson Starship (21 and Over),Hard Rock Live Tulsa,Catoosa,2025-12-06T02:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jd0s
Z7r9jZ1A7qeuE,Little River Band,Little River Band,Spokane Live at Spokane Tribe Casino,Airway Heights,2025-12-06T04:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qeuE
rZ7HnEZ1AKO7of,grandson,grandson - INERTIA Tour - Presented By F7 Live,MacEwan Hall,Calgary,2025-12-06T02:00:00Z,2025-06-17T16:00:00Z,,,https://www.ticketweb.ca/event/grandson-inertia-tour-macewan-hall-tickets/13804454
rZ7HnEZ1Af4OZN,,"Evil Empire, Lounge Fly",Middle East - Upstairs,Cambridge,2025-12-06T00:00:00Z,2025-09-12T14:00:00Z,,,https://www.ticketweb.com/event/evil-empire-lounge-fly-middle-east-upstairs-tickets/14560023
rZ7HnEZ1Af_EFK,The Bankes Brothers,The Bankes Brothers with Emmett Jerome,The Pearl,Vancouver,2025-12-06T03:00:00Z,2025-11-06T18:00:00Z,,,https://www.ticketweb.ca/event/the-bankes-brothers-with-emmett-the-pearl-tickets/14667213
rZ7HnEZ1Afo6ZS,,80's with KNYGHT RYDER,Gaslamp Long Beach,Long Beach,2025-12-06T05:00:00Z,2025-05-07T01:00:00Z,,,https://www.ticketweb.com/event/80s-with-knyght-ryder-gaslamp-long-beach-tickets/14447033
rZ7HnEZ1Afp97N,,Seven Wonders - A Tribute to Fleetwood Mac,Middle Ages Beer Hall,Syracuse,2025-12-06T01:00:00Z,2025-10-04T23:00:00Z,,,https://www.ticketweb.com/event/seven-wonders-a-middle-ages-beer-hall-tickets/14597123
Z7r9jZ1A7QkvA,Colbie Caillat,Colbie Caillat & Gavin DeGraw Holiday & Hits,Spirit Mountain Casino,Grand Ronde,2025-12-07T03:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7QkvA
