id,change,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
rZ7HnEZ1AKP4b0,CHANGED:presale_end,Taylor Acorn,"Taylor Acorn, WILT",Madame Lou's,Seattle,2025-11-26T03:30:00Z,2025-08-15T15:00:00Z,,,https://www.ticketweb.com/event/taylor-acorn-wilt-madame-lous-tickets/13955624
rZ7HnEZ1AK0E1f,CHANGED:presale_start,Band of Skulls,BAND OF SKULLS - COLD FAME TOUR,Grog Shop,Cleveland Heights,2025-11-29T01:00:00Z,2025-08-06T14:00:00Z,,,https://www.ticketweb.com/event/band-of-skulls-grog-shop-tickets/13927294
rZ7HnEZ1AK0E1f,CHANGED:presale_end,Band of Skulls,BAND OF SKULLS - COLD FAME TOUR,Grog Shop,Cleveland Heights,2025-11-29T01:00:00Z,2025-08-06T14:00:00Z,,,https://www.ticketweb.com/event/band-of-skulls-grog-shop-tickets/13927294
rZ7HnEZ1AKqw7f,CHANGED:presale_start,Space Oddity- David Brighton's Tribute to David Bowie,Space Oddity - Tribute to David Bowie,The Coach House,San Juan Capistrano,2025-11-29T04:00:00Z,2025-08-03T17:00:00Z,,,https://www.ticketweb.com/event/space-oddity-tribute-the-coach-house-tickets/13772114
rZ7HnEZ1AKqw7f,CHANGED:presale_end,Space Oddity- David Brighton's Tribute to David Bowie,Space Oddity - Tribute to David Bowie,The Coach House,San Juan Capistrano,2025-11-29T04:00:00Z,2025-08-03T17:00:00Z,,,https://www.ticketweb.com/event/space-oddity-tribute-the-coach-house-tickets/13772114
rZ7HnEZ1Af4Z_S,CHANGED:artist,,Magic Bag Presents: 80s vs 90s - MEGA vs CLASS,The Magic Bag,Ferndale,2025-11-29T00:00:00Z,2025-09-10T14:00:00Z,,,https://www.ticketweb.com/event/magic-bag-presents-80s-vs-the-magic-bag-tickets/14540673
rZ7HnEZ1Af4Z_S,CHANGED:presale_start,,Magic Bag Presents: 80s vs 90s - MEGA vs CLASS,The Magic Bag,Ferndale,2025-11-29T00:00:00Z,2025-09-10T14:00:00Z,,,https://www.ticketweb.com/event/magic-bag-presents-80s-vs-the-magic-bag-tickets/14540673
rZ7HnEZ1Af4Z_S,CHANGED:presale_end,,Magic Bag Presents: 80s vs 90s - MEGA vs CLASS,The Magic Bag,Ferndale,2025-11-29T00:00:00Z,2025-09-10T14:00:00Z,,,https://www.ticketweb.com/event/magic-bag-presents-80s-vs-the-magic-bag-tickets/14540673
rZ7HnEZ1AfQojK,CHANGED:artist,,Loud and Local Rock Fest,Buck's Backyard (Indoor),Buda,2025-12-05T02:00:00Z,2025-11-13T17:00:00Z,,,https://www.ticketweb.com/event/loud-and-local-rock-fest-bucks-backyard-indoor-tickets/14691713
rZ7HnEZ1AfQojK,CHANGED:presale_start,,Loud and Local Rock Fest,Buck's Backyard (Indoor),Buda,2025-12-05T02:00:00Z,2025-11-13T17:00:00Z,,,https://www.ticketweb.com/event/loud-and-local-rock-fest-bucks-backyard-indoor-tickets/14691713
rZ7HnEZ1AfQojK,CHANGED:presale_end,,Loud and Local Rock Fest,Buck's Backyard (Indoor),Buda,2025-12-05T02:00:00Z,2025-11-13T17:00:00Z,,,https://www.ticketweb.com/event/loud-and-local-rock-fest-bucks-backyard-indoor-tickets/14691713
rZ7HnEZ1Af4yGd,CHANGED:presale_start,Catalyst,Fame: A Tribute To David Bowie,Club LA,Destin,2025-12-07T02:00:00Z,2025-09-23T17:00:00Z,,,https://www.ticketweb.com/event/fame-a-tribute-to-david-club-la-tickets/14579303
rZ7HnEZ1Af4yGd,CHANGED:presale_end,Catalyst,Fame: A Tribute To David Bowie,Club LA,Destin,2025-12-07T02:00:00Z,2025-09-23T17:00:00Z,,,https://www.ticketweb.com/event/fame-a-tribute-to-david-club-la-tickets/14579303
rZ7HnEZ1Af_94S,CHANGED:artist,,"Monea Brothers, Paul Pfau",Drom,New York,2025-12-12T00:00:00Z,2025-10-30T17:45:00Z,,,https://www.ticketweb.com/event/monea-brothers-paul-pfau-drom-tickets/14657573
rZ7HnEZ1Af_94S,CHANGED:presale_start,,"Monea Brothers, Paul Pfau",Drom,New York,2025-12-12T00:00:00Z,2025-10-30T17:45:00Z,,,https://www.ticketweb.com/event/monea-brothers-paul-pfau-drom-tickets/14657573
rZ7HnEZ1Af_94S,CHANGED:presale_end,,"Monea Brothers, Paul Pfau",Drom,New York,2025-12-12T00:00:00Z,2025-10-30T17:45:00Z,,,https://www.ticketweb.com/event/monea-brothers-paul-pfau-drom-tickets/14657573
rZ7HnEZ1Af4ZQd,CHANGED:artist,,80s vs 90s: Ugly Sweater and Speedo Party,The Magic Bag,Ferndale,2025-12-14T01:00:00Z,2025-09-17T14:00:00Z,,,https://www.ticketweb.com/event/80s-vs-90s-ugly-sweater-the-magic-bag-tickets/14540683
rZ7HnEZ1Af4ZQd,CHANGED:presale_start,,80s vs 90s: Ugly Sweater and Speedo Party,The Magic Bag,Ferndale,2025-12-14T01:00:00Z,2025-09-17T14:00:00Z,,,https://www.ticketweb.com/event/80s-vs-90s-ugly-sweater-the-magic-bag-tickets/14540683
rZ7HnEZ1Af4ZQd,CHANGED:presale_end,,80s vs 90s: Ugly Sweater and Speedo Party,The Magic Bag,Ferndale,2025-12-14T01:00:00Z,2025-09-17T14:00:00Z,,,https://www.ticketweb.com/event/80s-vs-90s-ugly-sweater-the-magic-bag-tickets/14540683
rZ7HnEZ1Afp97S,CHANGED:artist,,"SAD ACADEMY WITH CANVAS, PRIMAL INSTINCT AND SOME HUMAN",West End Trading Company,Sanford,2025-12-15T00:00:00Z,2025-10-01T15:25:00Z,,,https://www.ticketweb.com/event/sad-academy-with-canvas-primal-west-end-trading-company-tickets/14597133
rZ7HnEZ1Afp97S,CHANGED:presale_start,,"SAD ACADEMY WITH CANVAS, PRIMAL INSTINCT AND SOME HUMAN",West End Trading Company,Sanford,2025-12-15T00:00:00Z,2025-10-01T15:25:00Z,,,https://www.ticketweb.com/event/sad-academy-with-canvas-primal-west-end-trading-company-tickets/14597133
