id,name,artist,event_local_date,event_local_time,venue,city,country,url
1AvZZbYGkXjTvWr,Raymond Lam,Raymond Lam,2025-11-23,19:30:00,OLG Stage at Fallsview Casino,Niagara Falls,Canada,https://www.ticketmaster.ca/raymond-lam-niagara-falls-ontario-11-23-2025/event/1000630F9CFC1F5E
1kFZvNAaGA16wCO,T. Graham Brown,T. Graham Brown,2025-11-23,18:30:00,Montgomery Performing Arts Centre,Montgomery,United States Of America,https://www.ticketmaster.com/t-graham-brown-montgomery-alabama-11-23-2025/event/200063149A1F23A0
G5eVZbY93R7LN,The STARS Tour featuring Anne Wilson,Anne Wilson,2025-11-23,19:30:00,Steven Tanger Center for the Performing Arts,Greensboro,United States Of America,https://www.ticketmaster.com/the-stars-tour-featuring-anne-wilson-greensboro-north-carolina-11-23-2025/event/2D006305D2BC47E3
G5vVZbYmVsv4i,The Home Team,The Home Team,2025-11-23,19:30:00,Toad's Place,New Haven,United States Of America,https://www.etix.com/ticket/p/62488560/the-home-team-the-crucible-of-life-tour-new-haven-toads-place-of-new-haven
Z7r9jZ1A7Q4qf,The Jayhawks,The Jayhawks,2025-11-23,19:30:00,The Center for Arts in Natick,Natick,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7Q4qf
Z7r9jZ1A7Q6Fy,Senses Fail w/ Story of the Year,Senses Fail,2025-11-23,19:30:00,Roadrunner-Boston,Boston,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7Q6Fy
Z7r9jZ1A7Q6Fz,One Night of Queen,One Night of Queen,2025-11-23,19:30:00,Pompano Beach Amphitheatre,Pompano Beach,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7Q6Fz
Z7r9jZ1A7_YfV,The Home Team,The Home Team,2025-11-23,19:30:00,Toads Place - CT,New Haven,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7_YfV
Z7r9jZ1A7_yA6,The Crane Wives,The Crane Wives,2025-11-23,19:30:00,Higher Ground,South Burlington,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7_yA6
Z7r9jZ1A7ba46,Natalie Merchant,Natalie Merchant,2025-11-23,19:30:00,Maryland Hall for the Creative Arts,Annapolis,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7ba46
Z7r9jZ1A7qOvN,Crobot,Crobot,2025-11-23,19:30:00,MilkBoy Philadelphia,Philadelphia,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7qOvN
ZkDnngzZDdmZ6E5p1gk7IS3mB3Cpgak,Lissie Livestream from Jimmy's Jazz and Blues Club,Lissie,2025-11-23,19:30:00,Jimmy's Jazz and Blues Club,Portsmouth,United States Of America,https://veeps.com/jimmysjazzandbluesclub/ee0079cb-58ad-4612-8cd2-bba48e5b5246
rZ7HnEZ1AK0xfV,Econoline Crush with Army Of One & Nitetime Drive,Econoline Crush,2025-11-23,19:30:00,Biltmore Theatre,Oshawa,Canada,https://www.ticketweb.ca/event/econoline-crush-with-army-of-biltmore-theatre-tickets/13922534
rZ7HnEZ1Afpekd,Elk City • King Canutes (Album Release Party) • Dave Derby,Elk City,2025-11-23,19:30:00,Berlin,New York,United States Of America,https://www.ticketweb.com/event/elk-city-king-canutes-berlin-tickets/14582183
